season,rank,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_match,attendance,top_scorer,goalkeeper,goals_scored_per_match,goals_conceded_per_match,goal_difference_per_match,win_percentage
2023-2024,1,Manchester City,38,28,7,3,96,34,62,91,2.39,53012.0,Erling Haaland - 27,Ederson,2.526315789473684,0.8947368421052632,1.631578947368421,73.68421052631578
2023-2024,2,Arsenal,38,28,5,5,91,29,62,89,2.34,60236.0,Bukayo Saka - 16,David Raya,2.3947368421052633,0.7631578947368421,1.631578947368421,73.68421052631578
2023-2024,3,Liverpool,38,24,10,4,86,41,45,82,2.16,55979.0,Mohamed Salah - 18,Alisson,2.263157894736842,1.0789473684210527,1.1842105263157894,63.1578947368421
2023-2024,4,Aston Villa,38,20,8,10,76,61,15,68,1.79,41858.0,Ollie Watkins - 19,Emiliano Martínez,2.0,1.605263157894737,0.39473684210526316,52.63157894736842
2023-2024,5,Tottenham,38,20,6,12,74,61,13,66,1.74,61482.0,Son Heung-min - 17,Guglielmo Vicario,1.9473684210526316,1.605263157894737,0.34210526315789475,52.63157894736842
2023-2024,6,Chelsea,38,18,9,11,77,63,14,63,1.66,39524.0,Cole Palmer - 22,Đorđe Petrović,2.026315789473684,1.6578947368421053,0.3684210526315789,47.368421052631575
2023-2024,7,Newcastle Utd,38,18,6,14,85,62,23,60,1.58,52125.0,Alexander Isak - 21,Martin Dúbravka,2.236842105263158,1.631578947368421,0.6052631578947368,47.368421052631575
2023-2024,8,Manchester Utd,38,18,6,14,57,58,-1,60,1.58,73533.0,"Rasmus Højlund, Bruno Fernandes - 10",André Onana,1.5,1.5263157894736843,-0.02631578947368421,47.368421052631575
2023-2024,9,West Ham,38,14,10,14,60,74,-14,52,1.37,62567.0,Jarrod Bowen - 16,Alphonse Areola,1.5789473684210527,1.9473684210526316,-0.3684210526315789,36.84210526315789
2023-2024,10,Crystal Palace,38,13,10,15,57,58,-1,49,1.29,24932.0,Jean-Philippe Mateta - 16,Sam Johnstone,1.5,1.5263157894736843,-0.02631578947368421,34.21052631578947
2023-2024,11,Brighton,38,12,12,14,55,62,-7,48,1.26,32638.0,João Pedro - 9,Bart Verbruggen,1.4473684210526316,1.631578947368421,-0.18421052631578946,31.57894736842105
2023-2024,12,Bournemouth,38,13,9,16,54,67,-13,48,1.26,11103.0,Dominic Solanke - 19,Neto,1.4210526315789473,1.763157894736842,-0.34210526315789475,34.21052631578947
2023-2024,13,Fulham,38,13,8,17,55,61,-6,47,1.24,24302.0,Rodrigo Muniz - 9,Bernd Leno,1.4473684210526316,1.605263157894737,-0.15789473684210525,34.21052631578947
2023-2024,14,Wolves,38,13,7,18,50,65,-15,46,1.21,31029.0,"Hwang Hee-chan, Matheus Cunha - 12",José Sá,1.3157894736842106,1.7105263157894737,-0.39473684210526316,34.21052631578947
2023-2024,15,Everton,38,13,9,16,40,51,-11,42,1.11,39042.0,"Abdoulaye Doucouré, Dominic Calvert-Lewin - 7",Jordan Pickford,1.0526315789473684,1.3421052631578947,-0.2894736842105263,34.21052631578947
2023-2024,16,Brentford,38,10,9,19,56,65,-9,39,1.03,17082.0,Yoane Wissa - 12,Mark Flekken,1.4736842105263157,1.7105263157894737,-0.23684210526315788,26.31578947368421
2023-2024,17,Nott'ham Forest,38,9,9,20,49,67,-18,32,0.84,29386.0,Chris Wood - 14,Matt Turner,1.2894736842105263,1.763157894736842,-0.47368421052631576,23.684210526315788
2023-2024,18,Luton Town,38,6,8,24,52,85,-33,26,0.68,11240.0,Carlton Morris - 11,Thomas Kaminski,1.368421052631579,2.236842105263158,-0.868421052631579,15.789473684210526
2023-2024,19,Burnley,38,5,9,24,41,78,-37,24,0.63,21184.0,Jacob Bruun Larsen - 6,James Trafford,1.0789473684210527,2.0526315789473686,-0.9736842105263158,13.157894736842104
2023-2024,20,Sheffield Utd,38,3,7,28,35,104,-69,16,0.42,30011.0,"Oliver McBurnie, Ben Brereton - 6",Wes Foderingham,0.9210526315789473,2.736842105263158,-1.8157894736842106,7.894736842105263
2022-2023,1,Manchester City,38,28,5,5,94,33,61,89,2.34,53249.0,Erling Haaland - 36,Ederson,2.473684210526316,0.868421052631579,1.605263157894737,73.68421052631578
2022-2023,2,Arsenal,38,26,6,6,88,43,45,84,2.21,60191.0,"Martin Ødegaard, Gabriel Martinelli - 15",Aaron Ramsdale,2.3157894736842106,1.131578947368421,1.1842105263157894,68.42105263157895
2022-2023,3,Manchester Utd,38,23,6,9,58,43,15,75,1.97,73671.0,Marcus Rashford - 17,David de Gea,1.5263157894736843,1.131578947368421,0.39473684210526316,60.526315789473685
2022-2023,4,Newcastle Utd,38,19,14,5,68,33,35,71,1.87,52127.0,Callum Wilson - 18,Nick Pope,1.7894736842105263,0.868421052631579,0.9210526315789473,50.0
2022-2023,5,Liverpool,38,19,10,9,75,47,28,67,1.76,53163.0,Mohamed Salah - 19,Alisson,1.9736842105263157,1.236842105263158,0.7368421052631579,50.0
2022-2023,6,Brighton,38,18,8,12,72,53,19,62,1.63,31477.0,Alexis Mac Allister - 10,Robert Sánchez,1.894736842105263,1.394736842105263,0.5,47.368421052631575
2022-2023,7,Aston Villa,38,18,7,13,51,46,5,61,1.61,41679.0,Ollie Watkins - 15,Emiliano Martínez,1.3421052631578947,1.2105263157894737,0.13157894736842105,47.368421052631575
2022-2023,8,Tottenham,38,18,6,14,70,63,7,60,1.58,61585.0,Harry Kane - 30,Hugo Lloris,1.8421052631578947,1.6578947368421053,0.18421052631578946,47.368421052631575
2022-2023,9,Brentford,38,15,14,9,58,46,12,59,1.55,17078.0,Ivan Toney - 20,David Raya,1.5263157894736843,1.2105263157894737,0.3157894736842105,39.473684210526315
2022-2023,10,Fulham,38,15,7,16,55,53,2,52,1.37,23746.0,Aleksandar Mitrović - 14,Bernd Leno,1.4473684210526316,1.394736842105263,0.05263157894736842,39.473684210526315
2022-2023,11,Crystal Palace,38,11,12,15,40,49,-9,45,1.18,24952.0,Eberechi Eze - 10,Vicente Guaita,1.0526315789473684,1.2894736842105263,-0.23684210526315788,28.947368421052634
2022-2023,12,Chelsea,38,11,11,16,38,47,-9,44,1.16,40002.0,Kai Havertz - 7,Kepa Arrizabalaga,1.0,1.236842105263158,-0.23684210526315788,28.947368421052634
2022-2023,13,Wolves,38,11,8,19,31,58,-27,41,1.08,31482.0,"Rúben Neves, Daniel Podence - 6",José Sá,0.8157894736842105,1.5263157894736843,-0.7105263157894737,28.947368421052634
2022-2023,14,West Ham,38,11,7,20,42,55,-13,40,1.05,62462.0,"Saïd Benrahma, Jarrod Bowen - 6",Łukasz Fabiański,1.105263157894737,1.4473684210526316,-0.34210526315789475,28.947368421052634
2022-2023,15,Bournemouth,38,11,6,21,37,71,-34,39,1.03,10362.0,Philip Billing - 7,Neto,0.9736842105263158,1.868421052631579,-0.8947368421052632,28.947368421052634
2022-2023,16,Nott'ham Forest,38,9,11,18,38,68,-30,38,1.0,29188.0,Taiwo Awoniyi - 10,Dean Henderson,1.0,1.7894736842105263,-0.7894736842105263,23.684210526315788
2022-2023,17,Everton,38,8,12,18,34,57,-23,36,0.95,39243.0,Dwight McNeil - 7,Jordan Pickford,0.8947368421052632,1.5,-0.6052631578947368,21.052631578947366
2022-2023,18,Leicester City,38,9,7,22,51,68,-17,34,0.89,31887.0,Harvey Barnes - 13,Danny Ward,1.3421052631578947,1.7894736842105263,-0.4473684210526316,23.684210526315788
2022-2023,19,Leeds United,38,7,10,21,48,78,-30,31,0.82,36566.0,Rodrigo - 13,Illan Meslier,1.263157894736842,2.0526315789473686,-0.7894736842105263,18.421052631578945
